,Name,Age,Gender,Department,Email,Phone,Address,Salary
30,Neha Gupta,27.0,F,sales,neha.gupta@gmail.com,91-55555555,Adress not Available,41841
31,Rajeev Sharma,32.0,M,finance/accounts,rajeev.sharma@yahoo.com,,"789 25th St, Jaipur, Rajasthan, India",39835
32,Sarika Patel,33.0,F,mangement,sarika.patel@hotmail.com,91-66666666,"654 26th St, Chennai, Tamil Nadu, India",9577
33,Vinay Singh,30.0,M,data science,vinay.singh@gmail.com,,"321 27th St, Hyderabad, Telangana, India",29480
34,Priya Gupta,29.5,F,IT,priya.gupta@yahoo.com,91-55555555,"901 28th St, Pune, Maharashtra, India",14254
35,Sushant Patel,29.0,M,sales,sushant.patel@hotmail.com,91-77777777,"567 29th St, Ahmedabad, Gujarat, India",37358
36,Payal Sharma,31.0,F,sales,payal.sharma@gmail.com,,"234 30th St, Bangalore, Karnataka, India",48367
37,Mohit Verma,28.0,M,hr,mohit.verma@yahoo.com,91-88888888,"789 31st St, Mumbai, Maharashtra, India",37473
38,Kavita Singh,33.0,F,hr,kavita.singh@hotmail.com,91-99999999,"901 32nd St, Kolkata, West Bengal, India",30628
39,Ankit Patel,30.0,M,operations,ankit.patel@gmail.com,,"321 33rd St, Patna, Bihar, India",22018
40,Pooja Mishra,27.0,F,data science,pooja.mishra@yahoo.com,91-77777777,"234 34th St, Bhopal, Madhya Pradesh, India",35747
41,Mohan Kumar,29.0,M,sales,mohan.kumar@gmail.com,,"567 35th St, Lucknow, Uttar Pradesh, India",32258
42,Anjali Gupta,26.0,F,finance/accounts,anjali.gupta@hotmail.com,91-55555555,"654 36th St, Jaipur, Rajasthan, India",31047
43,Mukesh Sharma,28.0,M,mangement,mukesh.sharma@yahoo.com,,"789 37th St, Chennai, Tamil Nadu, India",31064
44,Arjun Singh,31.0,M,data science,arjun.singh@gmail.com,91-88888888,Adress not Available,3108
45,Divya Patel,27.0,F,hr,divya.patel@yahoo.com,91-77777777,"567 38th St, Hyderabad, Telangana, India",20205
46,Gaurav Kumar,29.0,M,hr,gaurav.kumar@gmail.com,,"234 39th St, Pune, Maharashtra, India",8746
47,Aditi Shah,32.0,F,IT,aditi.shah@hotmail.com,91-66666666,"901 40th St, Ahmedabad, Gujarat, India",15531
48,Sandeep Singh,29.5,M,sales,sandeep.singh@yahoo.com,91-55555555,"321 41st St, Bangalore, Karnataka, India",23055
49,Shalini Sharma,30.0,F,sales,shalini.sharma@gmail.com,,"789 42nd St, Mumbai, Maharashtra, India",18647
